"ID","user","river","flow","date","image","note"
"[11681,1120232]","#ROW[11679,1120139]","SF twomed",1820,"2018-04-28",#MEDIA,"Walked to marty's. Group of seven. Good day overall. River's riving 2500 by the end of the day. "
"[11681,1120475]","#ROW[11679,1120139]","Bear cr",4340,"2018-04-25",#MEDIA,"4340 Lower end of flows. "
"[11681,1126457]","#ROW[11679,1120139]","SF of the two med",2190,"2018-05-05",#MEDIA,"Great level big hits but not technical. "
"[11681,1126458]","#ROW[11679,1120139]","Bear cr",12700,"2018-05-04",#MEDIA,"Fun padded fast"
"[11681,1126972]","#ROW[11679,1120139]","SF of the Two medicine",2300,"2018-05-06",#MEDIA,"Good level more boils than yesterday"
"[11681,1130579]","#ROW[11679,1120139]","Bear cr",20400,"2018-05-08",#MEDIA,"Big. Some large holes. Got caught in one and swam. Cory cleaned up got everything. Good guy to have along. "
"[11681,1134405]","#ROW[11679,1120139]","Beartrap Canyon",3290,"2018-05-12",#MEDIA,"Great day Lower rock on kitchen sink covered. Pretty darn fun"
"[11681,1134406]","#ROW[11679,1120139]","Gallitan",3100,"2018-05-12",#MEDIA,"Great wavetrains. Fun eddy catching. Great day with Ian"
"[11681,1134407]","#ROW[11679,1120139]","Boulder",2340,"2018-05-13",#MEDIA,"Speculator cr to Chippy campgrand. Cool section could use more water. The piece below the falls looks good at this level. Did not get eyes on Hells but hey. "
"[11681,1139615]","#ROW[11679,1120139]","Old man",1800,"2018-05-19",#MEDIA,"At the pincher creek great day.   Ran falls in playboat"
"[11681,1141863]","#ROW[11679,1120139]","Castle Rodeo Grounds through Canyon",70,"2018-05-20",#MEDIA,"Pincher creek fest. Good fun canyon flatwater out. flow in cMs"
"[11681,1141864]","#ROW[11679,1120139]","Carbondale river",,"2018-05-20",#MEDIA,"Good flow. Pincher creek. "
"[11681,1141865]","#ROW[11679,1120139]","Carbondale river",,"2018-05-21",#MEDIA,"Little lower flow than the day before but still fun "
"[11681,1144006]","#ROW[11679,1120139]","SF Two medicine",2840,"2018-05-25",#MEDIA,"Good level. The lines got wider and the waves got bigger. Wonderful way to wash away the week. "
"[11681,1250038]","#ROW[11679,1120139]","St. Joe Tumbledown",4370,"2018-06-07",#MEDIA,"Good flow had more to give"
"[11681,1250039]","#ROW[11679,1120139]","Mable cr",4370,"2018-06-07",#MEDIA,"Gauge for St joe. Fun good run with a lot to offer. Upper above bridge of marble rd was a slow start but picked up down low. "
"[11681,1250040]","#ROW[11679,1120139]","Marble cr",4280,"2018-06-08",#MEDIA,"second day ribs were starting to hurt
"
"[11681,1250042]","#ROW[11679,1120139]","Dearborn",569,"2018-06-09",#MEDIA,"Little low. Did not run anything above the first gorge. Chris was with me slow start to the day."
"[11681,1250043]","#ROW[11679,1120139]","Sf two med",1700,"2018-06-05",#MEDIA,"Fun run with greg lower than the gauge seemed"
"[11681,1655119]","#ROW[11679,1120139]","fake river",500000000,"2019-01-01",#MEDIA,"This was really cool and I faked it all"
"[11681,2367956]","#ROW[11679,1120139]","MF Flathead",1110,"2019-03-30",#MEDIA,"Fun Level But had my boat stolen the day before"
"[11681,2387820]","#ROW[11679,1120139]","MF Flathead",2610,"2019-04-19",#MEDIA,"Whitewater section. Flows were good. Everything was covered without boils. No real surfwaves yet. Do they exist on this section we do not know."
